#{"t_start": 1765489099.0163326, "env_id": "None"}
r,l,t
-111.729475,616,270.874913
13.414486,382,271.074005
-153.001299,800,272.578596
-86.472792,800,272.954915
-138.844341,800,274.467527
-141.451644,800,274.840853
-85.143662,800,275.243667
25.519262,800,277.090069
-415.465136,800,277.682388
-246.590635,800,279.293716
-143.612968,800,279.689488
-88.700018,800,280.062578
-89.429905,800,281.724488
-72.479231,800,282.108591
-180.902046,800,283.930751
-159.213762,800,284.385459
30.252948,562,284.684279
-50.787224,800,286.343326
-49.513754,800,286.740175
-52.71348,800,287.136042
-26.293658,800,288.621909
-117.579992,800,288.969332
15.675489,800,290.363885
-62.342809,800,290.743462
-196.946223,800,291.099289
-124.386981,800,292.636265
-112.39424,800,293.020117
-5.040061,800,294.692077
-98.243607,454,294.96738
-133.153613,800,295.425083
-9.032724,800,297.116622
-340.953023,800,297.513518
-385.929013,800,297.893631
-235.284285,800,299.437605
-245.689278,800,299.794372
-331.212717,800,300.199079
-44.202548,800,301.786581
-162.096173,800,302.152678
-99.730036,800,303.652512
-132.571259,800,304.025449
-41.102319,800,304.38038
-55.299078,800,305.931005
-294.673887,800,306.300812
-111.861686,800,307.76829
-99.954796,800,308.145339
-64.507336,800,308.517643
-68.003523,800,309.976813
-57.874133,800,310.347614
-109.291804,800,311.837622
-91.615031,800,312.238765
43.470101,800,312.590819
-41.94341,800,314.089607
-53.296226,800,314.444849
-300.143495,800,314.78668
-98.285837,800,316.248124
-75.982972,800,316.625609
-74.708594,800,318.147558
-79.317003,800,318.506712
-53.913546,800,318.8821
-177.276952,800,320.290339
-97.085851,800,320.635846
-46.4712,800,322.228075
-53.573128,800,322.602137
-72.280252,800,322.956119
-144.023058,800,324.670116
6.622251,800,325.030766
-114.799834,800,326.522716
-50.732774,800,326.949685
-107.828542,800,327.312598
-112.628548,800,328.873593
-63.553254,800,329.245771
-81.342189,800,330.812372
-49.24617,800,331.212014
-2.979022,800,331.58728
-31.711514,800,333.160215
-102.676158,800,333.527298
-76.463498,800,333.893696
-162.675033,800,335.542403
-123.750755,800,336.04059
-144.834476,800,337.531486
-6.000576,800,337.909991
-288.385674,800,338.27982
-33.130149,800,339.894728
-199.488284,800,340.272174
-75.18425,800,342.005824
-34.085481,800,342.411735
-54.206882,800,342.824936
-397.756613,800,344.46511
-139.515913,800,344.825068
-148.266767,800,346.329712
-51.147006,800,346.753212
-72.352175,800,347.142696
-49.867812,800,349.180473
-149.610415,800,349.788296
-85.848251,800,351.20119
-45.168864,800,351.618716
-1.794346,800,352.030985
-45.213435,800,354.064037
-79.201816,800,354.427922
-77.421619,800,354.77513
-47.50955,800,356.62361
-68.550788,800,357.048036
-131.263908,800,358.90465
-145.934413,800,359.37233
-191.772844,800,359.829552
-70.470892,800,361.986683
-133.83369,800,362.632132
-63.872186,800,364.493939
-120.094884,800,365.001859
-50.009553,800,365.497291
-16.801703,800,367.278951
-119.81611,800,367.654531
-73.807504,800,369.17299
-1.372616,800,369.597481
-65.163867,800,369.956086
-21.631317,800,371.533423
-94.550125,800,371.897415
-114.088609,800,372.245454
-18.269966,800,373.734278
-18.63486,800,374.11057
-227.648109,800,375.59624
-141.840806,800,375.96121
